id,ResponseID,date,md_substance,md_dose,Recoded_Dose
R_2R83gy89GxDMEv7,R_r9Fz6yEGXCwKWo9,2016-11-20T00:00:00Z,Psilocybin truffles dried,5g,5
R_3lPTepefVD3IeKy,R_29h3x630lN4QKns,2016-09-30T00:00:00Z,LSD,150mcg,150
R_3qWhrYv7ZltrWvE,R_2xGc3iM1jQMLtGc,2017-01-27T00:00:00Z,LSD,150 micrograms,150
